date,region,product_id,average_delivery_days,late_delivery_rate
2026-01-13,East,P002,3.47,0.044
2026-01-13,East,P003,2.77,0.029
2026-01-13,East,P004,3.36,0.043
2026-01-13,West,P001,3.14,0.023
2026-01-13,West,P002,3.28,0.045
2026-01-13,West,P003,2.67,0.035
2026-01-13,West,P004,3.08,0.041
2026-01-14,North,P001,2.91,0.039
2026-01-14,North,P002,2.92,0.042
2026-01-14,North,P003,3.44,0.014
2026-01-14,North,P004,2.93,0.042
2026-01-14,South,P001,3.09,0.036
2026-01-14,South,P002,2.47,0.043
2026-01-14,South,P003,3.52,0.025
2026-01-14,South,P004,3.26,0.037
2026-01-14,East,P001,2.98,0.029
2026-01-14,East,P002,2.9,0.053
2026-01-14,East,P003,3.17,0.057
2026-01-14,East,P004,3.35,0.044
2026-01-14,West,P001,3.52,0.044
2026-01-14,West,P002,3.25,0.037
2026-01-14,West,P003,3.02,0.033
2026-01-14,West,P004,3.3,0.028
2026-01-15,North,P001,3.23,0.038
2026-01-15,North,P002,3.35,0.048
2026-01-15,North,P003,3.55,0.047
2026-01-15,North,P004,2.53,0.039
2026-01-15,South,P001,2.65,0.035
2026-01-15,South,P002,3.45,0.046
2026-01-15,South,P003,2.79,0.03
2026-01-15,South,P004,3.01,0.028
2026-01-15,East,P001,2.8,0.043
2026-01-15,East,P002,3.35,0.046
2026-01-15,East,P003,2.31,0.043
2026-01-15,East,P004,3.02,0.044
2026-01-15,West,P001,3.48,0.019
2026-01-15,West,P002,2.82,0.046
2026-01-15,West,P003,2.53,0.055
2026-01-15,West,P004,3.11,0.048
2026-01-16,North,P001,2.83,0.048
2026-01-16,North,P002,3.32,0.042
2026-01-16,North,P003,3.07,0.043
2026-01-16,North,P004,2.74,0.039
2026-01-16,South,P001,2.95,0.044
2026-01-16,South,P002,3.3,0.029
2026-01-16,South,P003,2.96,0.055
2026-01-16,South,P004,2.78,0.032
2026-01-16,East,P001,3.06,0.048
2026-01-16,East,P002,3.0,0.053
2026-01-16,East,P003,3.26,0.048
2026-01-16,East,P004,3.17,0.063
2026-01-16,West,P001,2.94,0.02
2026-01-16,West,P002,3.48,0.035
2026-01-16,West,P003,3.03,0.053
2026-01-16,West,P004,2.52,0.027
2026-01-17,North,P001,2.52,0.032
2026-01-17,North,P002,3.13,0.045
2026-01-17,North,P003,3.08,0.026
2026-01-17,North,P004,2.31,0.041
2026-01-17,South,P001,2.86,0.045
2026-01-17,South,P002,3.21,0.041
2026-01-17,South,P003,3.23,0.042
2026-01-17,South,P004,3.16,0.033
2026-01-17,East,P001,2.95,0.042
2026-01-17,East,P002,3.25,0.036
2026-01-17,East,P003,3.16,0.037
2026-01-17,East,P004,2.96,0.048
2026-01-17,West,P001,2.4,0.027
2026-01-17,West,P002,2.56,0.017
2026-01-17,West,P003,2.8,0.047
2026-01-17,West,P004,2.91,0.042
2026-01-18,North,P001,3.33,0.053
2026-01-18,North,P002,2.98,0.054
2026-01-18,North,P003,3.03,0.032
2026-01-18,North,P004,2.82,0.025
2026-01-18,South,P001,2.73,0.036
2026-01-18,South,P002,3.24,0.057
2026-01-18,South,P003,2.59,0.044
2026-01-18,South,P004,2.69,0.045
2026-01-18,East,P001,2.96,0.022
2026-01-18,East,P002,3.28,0.034
2026-01-18,East,P003,2.84,0.029
2026-01-18,East,P004,2.8,0.044
2026-01-18,West,P001,2.94,0.043
2026-01-18,West,P002,3.11,0.053
2026-01-18,West,P003,2.9,0.025
2026-01-18,West,P004,3.32,0.037
2026-01-19,North,P001,3.33,0.044
2026-01-19,North,P002,2.96,0.043
2026-01-19,North,P003,3.59,0.061
2026-01-19,North,P004,3.02,0.042
2026-01-19,South,P001,3.32,0.032
2026-01-19,South,P002,3.1,0.04
2026-01-19,South,P003,3.09,0.032
2026-01-19,South,P004,2.52,0.019
2026-01-19,East,P001,2.66,0.035
2026-01-19,East,P002,2.91,0.059
2026-01-19,East,P003,3.33,0.03
2026-01-19,East,P004,3.1,0.036
2026-01-19,West,P001,2.91,0.042
2026-01-19,West,P002,3.19,0.037
2026-01-19,West,P003,3.32,0.029
2026-01-19,West,P004,3.0,0.066
2026-01-20,North,P001,3.07,0.054
2026-01-20,North,P002,3.03,0.046
2026-01-20,North,P003,2.98,0.038
2026-01-20,North,P004,2.77,0.044
2026-01-20,South,P001,2.74,0.047
2026-01-20,South,P002,3.33,0.044
2026-01-20,South,P003,2.91,0.045
2026-01-20,South,P004,2.91,0.049
2026-01-20,East,P001,2.45,0.037
2026-01-20,East,P002,2.4,0.025
2026-01-20,East,P003,3.41,0.049
2026-01-20,East,P004,2.78,0.025
2026-01-20,West,P001,2.11,0.035
2026-01-20,West,P002,3.73,0.044
2026-01-20,West,P003,2.83,0.045
2026-01-20,West,P004,2.53,0.037
2026-01-21,North,P001,3.03,0.039
2026-01-21,North,P002,3.24,0.043
2026-01-21,North,P003,3.2,0.033
2026-01-21,North,P004,3.27,0.056
2026-01-21,South,P001,2.71,0.031
2026-01-21,South,P002,3.4,0.038
2026-01-21,South,P003,3.42,0.036
2026-01-21,South,P004,3.44,0.041
2026-01-21,East,P001,3.08,0.056
2026-01-21,East,P002,2.89,0.031
2026-01-21,East,P003,2.87,0.045
2026-01-21,East,P004,2.53,0.046
2026-01-21,West,P001,2.84,0.051
2026-01-21,West,P002,2.28,0.032
2026-01-21,West,P003,2.49,0.032
2026-01-21,West,P004,3.07,0.038
2026-01-22,North,P001,2.92,0.038
2026-01-22,North,P002,3.06,0.03
2026-01-22,North,P003,3.21,0.047
2026-01-22,North,P004,3.12,0.046
2026-01-22,South,P001,3.09,0.06
2026-01-22,South,P002,2.97,0.037
2026-01-22,South,P003,2.77,0.03
2026-01-22,South,P004,2.63,0.031
2026-01-22,East,P001,2.98,0.043
2026-01-22,East,P002,3.02,0.032
2026-01-22,East,P003,3.27,0.047
2026-01-22,East,P004,2.95,0.033
2026-01-22,West,P001,3.16,0.042
2026-01-22,West,P002,2.57,0.039
2026-01-22,West,P003,3.08,0.031
2026-01-22,West,P004,3.06,0.025
2026-01-23,North,P001,3.4,0.052
2026-01-23,North,P002,2.92,0.044
2026-01-23,North,P003,2.28,0.028
2026-01-23,North,P004,2.91,0.029
2026-01-23,South,P001,3.21,0.06
2026-01-23,South,P002,2.65,0.032
2026-01-23,South,P003,3.07,0.056
2026-01-23,South,P004,2.63,0.042
2026-01-23,East,P001,3.55,0.023
2026-01-23,East,P002,2.62,0.036
2026-01-23,East,P003,2.84,0.048
2026-01-23,East,P004,3.07,0.022
2026-01-23,West,P001,3.15,0.034
2026-01-23,West,P002,3.38,0.034
2026-01-23,West,P003,2.81,0.045
2026-01-23,West,P004,3.23,0.044
2026-01-24,North,P001,2.49,0.045
2026-01-24,North,P002,2.69,0.042
2026-01-24,North,P003,2.57,0.044
2026-01-24,North,P004,2.76,0.027
2026-01-24,South,P001,3.21,0.042
2026-01-24,South,P002,2.82,0.055
2026-01-24,South,P003,2.87,0.04
2026-01-24,South,P004,3.08,0.034
2026-01-24,East,P001,3.14,0.035
2026-01-24,East,P002,2.88,0.054
2026-01-24,East,P003,2.69,0.016
2026-01-24,East,P004,3.48,0.065
2026-01-24,West,P001,2.88,0.021
2026-01-24,West,P002,2.91,0.037
2026-01-24,West,P003,2.94,0.029
2026-01-24,West,P004,3.17,0.045
2026-01-25,North,P001,2.55,0.047
2026-01-25,North,P002,3.62,0.042
2026-01-25,North,P003,2.9,0.039
2026-01-25,North,P004,3.18,0.023
2026-01-25,South,P001,3.05,0.036
2026-01-25,South,P002,3.55,0.038
2026-01-25,South,P003,3.5,0.029
2026-01-25,South,P004,3.18,0.043
2026-01-25,East,P001,2.74,0.042
2026-01-25,East,P002,3.36,0.037
2026-01-25,East,P003,2.49,0.04
2026-01-25,East,P004,2.73,0.037
2026-01-25,West,P001,2.98,0.023
2026-01-25,West,P002,2.52,0.045
2026-01-25,West,P003,2.84,0.014
2026-01-25,West,P004,3.24,0.043
2026-01-26,North,P001,2.79,0.027
2026-01-26,North,P002,3.25,0.043
2026-01-26,North,P003,3.71,0.044
2026-01-26,North,P004,3.12,0.038
2026-01-26,South,P001,3.25,0.046
2026-01-26,South,P002,3.38,0.035
2026-01-26,South,P003,2.87,0.035
2026-01-26,South,P004,3.24,0.055
2026-01-26,East,P001,2.86,0.036
2026-01-26,East,P002,3.09,0.038
2026-01-26,East,P003,3.29,0.017
2026-01-26,East,P004,2.75,0.032
2026-01-26,West,P001,2.3,0.03
2026-01-26,West,P002,2.73,0.038
2026-01-26,West,P003,3.33,0.038
2026-01-26,West,P004,2.69,0.039
2026-01-27,North,P001,3.31,0.03
2026-01-27,North,P002,2.73,0.046
2026-01-27,North,P003,2.93,0.046
2026-01-27,North,P004,3.0,0.047
2026-01-27,South,P001,2.69,0.04
2026-01-27,South,P002,2.94,0.028
2026-01-27,South,P003,2.53,0.047
2026-01-27,South,P004,2.89,0.03
2026-01-27,East,P001,2.97,0.051
2026-01-27,East,P002,2.32,0.025
2026-01-27,East,P003,2.72,0.055
2026-01-27,East,P004,3.08,0.048
2026-01-27,West,P001,2.66,0.029
2026-01-27,West,P002,3.13,0.041
2026-01-27,West,P003,3.16,0.038
2026-01-27,West,P004,3.08,0.042
2026-01-28,North,P001,3.23,0.048
2026-01-28,North,P002,2.51,0.018
2026-01-28,North,P003,3.3,0.052
2026-01-28,North,P004,2.69,0.021
2026-01-28,South,P001,3.03,0.049
2026-01-28,South,P002,3.54,0.045
2026-01-28,South,P003,2.89,0.031
2026-01-28,South,P004,3.0,0.037
2026-01-28,East,P001,2.7,0.06
2026-01-28,East,P002,3.54,0.051
2026-01-28,East,P003,2.72,0.049
2026-01-28,East,P004,3.19,0.044
2026-01-28,West,P001,3.37,0.046
2026-01-28,West,P002,3.22,0.046
2026-01-28,West,P003,3.1,0.022
2026-01-28,West,P004,3.03,0.034
2026-01-29,North,P001,2.62,0.057
2026-01-29,North,P002,3.52,0.054
2026-01-29,North,P003,3.08,0.054
2026-01-29,North,P004,3.0,0.042
2026-01-29,South,P001,2.67,0.044
2026-01-29,South,P002,3.02,0.027
2026-01-29,South,P003,2.98,0.039
2026-01-29,South,P004,3.54,0.049
2026-01-29,East,P001,3.0,0.042
2026-01-29,East,P002,3.01,0.038
2026-01-29,East,P003,2.68,0.038
2026-01-29,East,P004,2.78,0.027
2026-01-29,West,P001,3.15,0.044
2026-01-29,West,P002,2.46,0.039
2026-01-29,West,P003,3.3,0.051
2026-01-29,West,P004,3.31,0.04
2026-01-30,North,P001,2.75,0.029
2026-01-30,North,P002,3.1,0.044
2026-01-30,North,P003,3.39,0.051
2026-01-30,North,P004,2.96,0.028
2026-01-30,South,P001,2.9,0.042
2026-01-30,South,P002,2.94,0.034
2026-01-30,South,P003,3.08,0.035
2026-01-30,South,P004,2.81,0.043
2026-01-30,East,P001,2.88,0.042
2026-01-30,East,P002,3.08,0.029
2026-01-30,East,P003,2.86,0.054
2026-01-30,East,P004,2.65,0.019
2026-01-30,West,P001,2.44,0.04
2026-01-30,West,P002,3.01,0.039
2026-01-30,West,P003,3.36,0.013
2026-01-30,West,P004,3.12,0.056
2026-01-31,North,P001,2.66,0.036
2026-01-31,North,P002,2.77,0.031
2026-01-31,North,P003,2.9,0.054
2026-01-31,North,P004,3.55,0.037
2026-01-31,South,P001,3.57,0.04
2026-01-31,South,P002,3.53,0.039
2026-01-31,South,P003,3.04,0.044
2026-01-31,South,P004,3.95,0.049
2026-01-31,East,P001,2.79,0.05
2026-01-31,East,P002,2.89,0.035
2026-01-31,East,P003,3.27,0.04
2026-01-31,East,P004,3.08,0.04
2026-01-31,West,P001,3.1,0.044
2026-01-31,West,P002,2.42,0.047
2026-01-31,West,P003,2.71,0.026
2026-01-31,West,P004,2.98,0.041
2026-02-01,North,P001,2.79,0.048
2026-02-01,North,P002,2.6,0.036
2026-02-01,North,P003,2.82,0.04
2026-02-01,North,P004,3.08,0.03
2026-02-01,South,P001,3.22,0.041
2026-02-01,South,P002,2.43,0.02
2026-02-01,South,P003,3.0,0.038
2026-02-01,South,P004,2.97,0.04
2026-02-01,East,P001,3.07,0.049
2026-02-01,East,P002,2.67,0.028
2026-02-01,East,P003,2.67,0.043
2026-02-01,East,P004,3.37,0.036
2026-02-01,West,P001,2.25,0.023
2026-02-01,West,P002,2.75,0.034
2026-02-01,West,P003,2.88,0.04
2026-02-01,West,P004,2.91,0.05
2026-02-02,North,P001,2.8,0.031
2026-02-02,North,P002,3.14,0.025
2026-02-02,North,P003,3.12,0.041
2026-02-02,North,P004,2.96,0.056
2026-02-02,South,P001,2.81,0.061
2026-02-02,South,P002,2.93,0.027
2026-02-02,South,P003,3.02,0.029
2026-02-02,South,P004,2.77,0.044
2026-02-02,East,P001,3.17,0.034
2026-02-02,East,P002,3.3,0.052
2026-02-02,East,P003,3.43,0.045
2026-02-02,East,P004,3.41,0.021
2026-02-02,West,P001,2.9,0.031
2026-02-02,West,P002,3.04,0.034
2026-02-02,West,P003,2.95,0.059
2026-02-02,West,P004,2.95,0.044
2026-02-03,North,P001,2.93,0.041
2026-02-03,North,P002,3.0,0.044
2026-02-03,North,P003,3.35,0.056
2026-02-03,North,P004,3.09,0.046
2026-02-03,South,P001,2.65,0.039
2026-02-03,South,P002,3.28,0.049
2026-02-03,South,P003,3.06,0.049
2026-02-03,South,P004,3.15,0.052
2026-02-03,East,P001,3.09,0.036
2026-02-03,East,P002,3.1,0.011
2026-02-03,East,P003,3.11,0.004
2026-02-03,East,P004,2.48,0.045
2026-02-03,West,P001,3.14,0.028
2026-02-03,West,P002,2.79,0.054
2026-02-03,West,P003,2.85,0.062
2026-02-03,West,P004,3.0,0.044
2026-02-04,North,P001,3.49,0.041
2026-02-04,North,P002,2.7,0.039
2026-02-04,North,P003,2.99,0.026
2026-02-04,North,P004,2.92,0.033
2026-02-04,South,P001,3.28,0.04
2026-02-04,South,P002,2.92,0.039
2026-02-04,South,P003,3.07,0.046
2026-02-04,South,P004,2.7,0.03
2026-02-04,East,P001,3.33,0.036
2026-02-04,East,P002,2.57,0.044
2026-02-04,East,P003,3.14,0.025
2026-02-04,East,P004,3.07,0.047
2026-02-04,West,P001,3.11,0.046
2026-02-04,West,P002,2.58,0.043
2026-02-04,West,P003,2.91,0.035
2026-02-04,West,P004,3.26,0.055
2026-02-05,North,P001,3.54,0.053
2026-02-05,North,P002,2.97,0.044
2026-02-05,North,P003,3.23,0.041
2026-02-05,North,P004,3.04,0.048
2026-02-05,South,P001,2.98,0.033
2026-02-05,South,P002,2.88,0.046
2026-02-05,South,P003,3.0,0.043
2026-02-05,South,P004,3.2,0.036
2026-02-05,East,P001,3.23,0.044
2026-02-05,East,P002,2.63,0.054
2026-02-05,East,P003,2.85,0.023
2026-02-05,East,P004,2.69,0.03
2026-02-05,West,P001,3.02,0.037
2026-02-05,West,P002,2.9,0.046
2026-02-05,West,P003,3.1,0.043
2026-02-05,West,P004,3.12,0.046
2026-02-06,North,P001,2.37,0.036
2026-02-06,North,P002,2.35,0.04
2026-02-06,North,P003,3.0,0.05
2026-02-06,North,P004,3.36,0.042
2026-02-06,South,P001,2.85,0.045
2026-02-06,South,P002,2.84,0.04
2026-02-06,South,P003,3.3,0.034
2026-02-06,South,P004,3.24,0.047
2026-02-06,East,P001,2.71,0.05
2026-02-06,East,P002,3.21,0.041
2026-02-06,East,P003,2.77,0.031
2026-02-06,East,P004,2.84,0.045
2026-02-06,West,P001,2.71,0.044
2026-02-06,West,P002,2.63,0.038
2026-02-06,West,P003,3.03,0.064
2026-02-06,West,P004,2.59,0.055
2026-02-07,North,P001,3.04,0.044
2026-02-07,North,P002,3.04,0.044
2026-02-07,North,P003,2.95,0.055
2026-02-07,North,P004,2.86,0.051
2026-02-07,South,P001,2.81,0.039
2026-02-07,South,P002,2.68,0.045
2026-02-07,South,P003,3.43,0.039
2026-02-07,South,P004,2.94,0.029
2026-02-07,East,P001,2.93,0.024
2026-02-07,East,P002,2.73,0.042
2026-02-07,East,P003,3.4,0.068
2026-02-07,East,P004,2.82,0.054
2026-02-07,West,P001,3.07,0.038
2026-02-07,West,P002,3.13,0.041
2026-02-07,West,P003,3.03,0.036
2026-02-07,West,P004,2.58,0.025
2026-02-08,North,P001,3.2,0.037
2026-02-08,North,P002,2.82,0.04
2026-02-08,North,P003,3.24,0.042
2026-02-08,North,P004,2.8,0.052
2026-02-08,South,P001,3.47,0.045
2026-02-08,South,P002,3.29,0.052
2026-02-08,South,P003,3.34,0.046
2026-02-08,South,P004,3.18,0.045
2026-02-08,East,P001,2.67,0.047
2026-02-08,East,P002,2.59,0.032
2026-02-08,East,P003,3.39,0.048
2026-02-08,East,P004,3.45,0.037
2026-02-08,West,P001,2.65,0.038
2026-02-08,West,P002,3.03,0.041
2026-02-08,West,P003,3.34,0.036
2026-02-08,West,P004,3.11,0.03
2026-02-09,North,P001,3.14,0.04
2026-02-09,North,P002,2.78,0.038
2026-02-09,North,P003,2.94,0.037
2026-02-09,North,P004,3.53,0.039
2026-02-09,South,P001,2.93,0.019
2026-02-09,South,P002,2.73,0.037
2026-02-09,South,P003,2.79,0.054
2026-02-09,South,P004,2.95,0.053
2026-02-09,East,P001,3.02,0.04
2026-02-09,East,P002,2.97,0.04
2026-02-09,East,P003,3.52,0.017
2026-02-09,East,P004,2.4,0.035
2026-02-09,West,P001,3.0,0.047
2026-02-09,West,P002,3.14,0.036
2026-02-09,West,P003,3.31,0.05
2026-02-09,West,P004,3.06,0.05
2026-02-10,North,P001,3.08,0.034
2026-02-10,North,P002,3.21,0.041
2026-02-10,North,P003,3.0,0.055
2026-02-10,North,P004,2.26,0.026
2026-02-10,South,P001,2.64,0.036
2026-02-10,South,P002,2.92,0.025
2026-02-10,South,P003,2.7,0.031
2026-02-10,South,P004,3.74,0.058
2026-02-10,East,P001,2.88,0.036
2026-02-10,East,P002,2.66,0.021
2026-02-10,East,P003,2.96,0.03
2026-02-10,East,P004,2.97,0.024
2026-02-10,West,P001,2.77,0.041
2026-02-10,West,P002,3.11,0.044
2026-02-10,West,P003,2.6,0.049
2026-02-10,West,P004,2.76,0.046
2026-02-11,North,P001,3.0,0.026
2026-02-11,North,P002,2.91,0.044
2026-02-11,North,P003,3.18,0.039
2026-02-11,North,P004,3.46,0.05
2026-02-11,South,P001,2.92,0.048
2026-02-11,South,P002,3.58,0.06
2026-02-11,South,P003,2.63,0.031
2026-02-11,South,P004,3.45,0.029
2026-02-11,East,P001,2.6,0.035
2026-02-11,East,P002,3.13,0.039
2026-02-11,East,P003,2.8,0.033
2026-02-11,East,P004,2.79,0.031
2026-02-11,West,P001,3.68,0.043
2026-02-11,West,P002,3.27,0.035
2026-02-11,West,P003,2.94,0.033
2026-02-11,West,P004,2.2,0.026
2026-02-12,North,P001,2.46,0.018
2026-02-12,North,P002,2.64,0.053
2026-02-12,North,P003,2.99,0.053
2026-02-12,North,P004,3.12,0.048
2026-02-12,South,P001,2.73,0.045
2026-02-12,South,P002,3.22,0.034
2026-02-12,South,P003,3.17,0.046
2026-02-12,South,P004,2.84,0.029
2026-02-12,East,P001,2.64,0.041
2026-02-12,East,P002,3.1,0.032
2026-02-12,East,P003,3.01,0.046
2026-02-12,East,P004,3.19,0.056
2026-02-12,West,P001,3.38,0.03
2026-02-12,West,P002,3.51,0.035
2026-02-12,West,P003,3.31,0.041
2026-02-12,West,P004,2.88,0.022
2026-02-13,North,P001,2.95,0.024
2026-02-13,North,P002,3.29,0.055
2026-02-13,North,P003,2.76,0.043
2026-02-13,North,P004,2.78,0.034
2026-02-13,South,P001,3.23,0.04
2026-02-13,South,P002,3.52,0.035
2026-02-13,South,P003,3.3,0.041
2026-02-13,South,P004,3.24,0.036
2026-02-13,East,P001,2.99,0.039
2026-02-13,East,P002,2.75,0.047
2026-02-13,East,P003,3.2,0.046
2026-02-13,East,P004,3.46,0.054
2026-02-13,West,P001,2.89,0.044
2026-02-13,West,P002,2.81,0.04
2026-02-13,West,P003,2.82,0.056
2026-02-13,West,P004,3.11,0.038
2026-02-14,North,P001,3.36,0.018
2026-02-14,North,P002,2.4,0.048
2026-02-14,North,P003,3.02,0.043
2026-02-14,North,P004,2.6,0.04
2026-02-14,South,P001,3.6,0.048
2026-02-14,South,P002,3.05,0.036
2026-02-14,South,P003,2.88,0.019
2026-02-14,South,P004,3.08,0.048
2026-02-14,East,P001,2.53,0.033
2026-02-14,East,P002,2.65,0.03
2026-02-14,East,P003,3.02,0.019
2026-02-14,East,P004,3.18,0.048
2026-02-14,West,P001,2.92,0.015
2026-02-14,West,P002,2.7,0.052
2026-02-14,West,P003,2.17,0.037
2026-02-14,West,P004,2.65,0.048
2026-02-15,North,P001,2.8,0.044
2026-02-15,North,P002,3.17,0.058
2026-02-15,North,P003,2.94,0.044
2026-02-15,North,P004,2.55,0.052
2026-02-15,South,P001,2.77,0.034
2026-02-15,South,P002,2.99,0.024
2026-02-15,South,P003,3.07,0.05
2026-02-15,South,P004,3.09,0.024
2026-02-15,East,P001,2.96,0.047
2026-02-15,East,P002,2.44,0.029
2026-02-15,East,P003,3.26,0.043
2026-02-15,East,P004,3.12,0.059
2026-02-15,West,P001,3.14,0.047
2026-02-15,West,P002,3.81,0.038
2026-02-15,West,P003,2.76,0.044
2026-02-15,West,P004,3.13,0.035
2026-02-16,North,P001,2.69,0.063
2026-02-16,North,P002,3.1,0.033
2026-02-16,North,P003,3.27,0.039
2026-02-16,North,P004,2.92,0.046
2026-02-16,South,P001,2.61,0.044
2026-02-16,South,P002,3.57,0.045
2026-02-16,South,P003,2.89,0.035
2026-02-16,South,P004,2.88,0.037
2026-02-16,East,P001,2.89,0.049
2026-02-16,East,P002,2.48,0.049
2026-02-16,East,P003,2.89,0.044
2026-02-16,East,P004,2.66,0.053
2026-02-16,West,P001,3.37,0.05
2026-02-16,West,P002,2.55,0.048
2026-02-16,West,P003,3.12,0.024
2026-02-16,West,P004,2.99,0.044
2026-02-17,North,P001,3.17,0.042
2026-02-17,North,P002,3.09,0.055
2026-02-17,North,P003,3.37,0.011
2026-02-17,North,P004,2.9,0.038
2026-02-17,South,P001,2.47,0.041
2026-02-17,South,P002,3.37,0.029
2026-02-17,South,P003,3.1,0.031
2026-02-17,South,P004,2.8,0.055
2026-02-17,East,P001,2.84,0.045
