date,product_id,product_name,region,units_sold,price,revenue,marketing_spend,discount,inventory
2026-01-11,P004,ShieldCase Armor,North,24,599.0,14376.0,194.58,0.0,153
2026-01-11,P001,AirWave Earbuds Pro,South,18,2499.0,44982.0,133.22,0.0,394
2026-01-11,P002,PulseFit Smart Watch,South,9,4999.0,44991.0,112.46,0.0,311
2026-01-11,P003,EchoBeam Speaker Mini,South,14,1799.0,25186.0,179.41,0.0,372
2026-01-11,P004,ShieldCase Armor,South,28,599.0,16772.0,128.47,0.0,128
2026-01-11,P001,AirWave Earbuds Pro,East,18,2499.0,44982.0,117.61,0.0,192
2026-01-11,P002,PulseFit Smart Watch,East,12,4999.0,59988.0,97.15,0.0,349
2026-01-11,P003,EchoBeam Speaker Mini,East,14,1799.0,25186.0,187.94,0.0,317
2026-01-11,P004,ShieldCase Armor,East,26,599.0,15574.0,186.64,0.0,397
2026-01-11,P001,AirWave Earbuds Pro,West,18,2499.0,44982.0,166.51,0.0,219
2026-01-11,P002,PulseFit Smart Watch,West,12,4999.0,59988.0,148.14,0.0,136
2026-01-11,P003,EchoBeam Speaker Mini,West,13,1799.0,23387.0,122.4,0.0,327
2026-01-11,P004,ShieldCase Armor,West,22,599.0,13178.0,142.42,0.0,307
2026-01-12,P001,AirWave Earbuds Pro,North,18,2499.0,44982.0,134.91,0.0,210
2026-01-12,P002,PulseFit Smart Watch,North,12,4999.0,59988.0,146.35,0.0,57
2026-01-12,P003,EchoBeam Speaker Mini,North,14,1799.0,25186.0,180.46,0.0,253
2026-01-12,P004,ShieldCase Armor,North,28,599.0,16772.0,154.94,0.0,106
2026-01-12,P001,AirWave Earbuds Pro,South,18,2499.0,44982.0,96.49,0.0,114
2026-01-12,P002,PulseFit Smart Watch,South,9,4999.0,44991.0,161.38,0.0,180
2026-01-12,P003,EchoBeam Speaker Mini,South,12,1799.0,21588.0,187.67,0.0,236
2026-01-12,P004,ShieldCase Armor,South,25,599.0,14975.0,124.68,0.0,357
2026-01-12,P001,AirWave Earbuds Pro,East,19,2499.0,47481.0,125.87,0.0,288
2026-01-12,P002,PulseFit Smart Watch,East,11,4999.0,54989.0,160.64,0.0,256
2026-01-12,P003,EchoBeam Speaker Mini,East,14,1799.0,25186.0,169.24,0.0,122
2026-01-12,P004,ShieldCase Armor,East,26,599.0,15574.0,125.49,0.0,313
2026-01-12,P001,AirWave Earbuds Pro,West,21,2499.0,52479.0,132.61,0.0,314
2026-01-12,P002,PulseFit Smart Watch,West,10,4999.0,49990.0,174.21,0.0,123
2026-01-12,P003,EchoBeam Speaker Mini,West,15,1799.0,26985.0,184.41,0.0,366
2026-01-12,P004,ShieldCase Armor,West,27,599.0,16173.0,205.39,0.0,126
2026-01-13,P001,AirWave Earbuds Pro,North,18,2499.0,44982.0,151.04,0.0,131
2026-01-13,P002,PulseFit Smart Watch,North,10,4999.0,49990.0,201.34,0.0,79
2026-01-13,P003,EchoBeam Speaker Mini,North,13,1799.0,23387.0,121.74,0.0,225
2026-01-13,P004,ShieldCase Armor,North,26,599.0,15574.0,213.61,0.0,207
2026-01-13,P001,AirWave Earbuds Pro,South,17,2499.0,42483.0,153.79,0.0,374
2026-01-13,P002,PulseFit Smart Watch,South,10,4999.0,49990.0,96.78,0.0,310
2026-01-13,P003,EchoBeam Speaker Mini,South,15,1799.0,26985.0,159.7,0.0,283
2026-01-13,P004,ShieldCase Armor,South,24,599.0,14376.0,123.16,0.0,140
2026-01-13,P001,AirWave Earbuds Pro,East,19,2499.0,47481.0,114.87,0.0,380
2026-01-13,P002,PulseFit Smart Watch,East,12,4999.0,59988.0,194.57,0.0,147
2026-01-13,P003,EchoBeam Speaker Mini,East,12,1799.0,21588.0,133.9,0.0,331
2026-01-13,P004,ShieldCase Armor,East,25,599.0,14975.0,108.02,0.0,105
2026-01-13,P001,AirWave Earbuds Pro,West,19,2499.0,47481.0,149.7,0.0,281
2026-01-13,P002,PulseFit Smart Watch,West,10,4999.0,49990.0,185.04,0.0,130
2026-01-13,P003,EchoBeam Speaker Mini,West,13,1799.0,23387.0,119.16,0.0,259
2026-01-13,P004,ShieldCase Armor,West,27,599.0,16173.0,121.28,0.0,203
2026-01-14,P001,AirWave Earbuds Pro,North,18,2499.0,44982.0,108.55,0.0,313
2026-01-14,P002,PulseFit Smart Watch,North,11,4999.0,54989.0,136.95,0.0,364
2026-01-14,P003,EchoBeam Speaker Mini,North,14,1799.0,25186.0,116.11,0.0,175
2026-01-14,P004,ShieldCase Armor,North,29,599.0,17371.0,152.19,0.0,201
2026-01-14,P001,AirWave Earbuds Pro,South,17,2499.0,42483.0,140.56,0.0,173
2026-01-14,P002,PulseFit Smart Watch,South,9,4999.0,44991.0,190.81,0.0,337
2026-01-14,P003,EchoBeam Speaker Mini,South,14,1799.0,25186.0,206.72,0.0,310
2026-01-14,P004,ShieldCase Armor,South,25,599.0,14975.0,169.23,0.0,140
2026-01-14,P001,AirWave Earbuds Pro,East,14,2499.0,34986.0,156.15,0.0,286
2026-01-14,P002,PulseFit Smart Watch,East,11,4999.0,54989.0,178.94,0.0,138
2026-01-14,P003,EchoBeam Speaker Mini,East,13,1799.0,23387.0,187.26,0.0,363
2026-01-14,P004,ShieldCase Armor,East,23,599.0,13777.0,155.91,0.0,143
2026-01-14,P001,AirWave Earbuds Pro,West,18,2499.0,44982.0,196.15,0.0,399
2026-01-14,P002,PulseFit Smart Watch,West,10,4999.0,49990.0,177.02,0.0,145
2026-01-14,P003,EchoBeam Speaker Mini,West,15,1799.0,26985.0,173.51,0.0,88
2026-01-14,P004,ShieldCase Armor,West,26,599.0,15574.0,155.03,0.0,127
2026-01-15,P001,AirWave Earbuds Pro,North,20,2499.0,49980.0,147.27,0.0,198
2026-01-15,P002,PulseFit Smart Watch,North,11,4999.0,54989.0,198.66,0.0,228
2026-01-15,P003,EchoBeam Speaker Mini,North,14,1799.0,25186.0,136.39,0.0,113
2026-01-15,P004,ShieldCase Armor,North,27,599.0,16173.0,159.47,0.0,348
2026-01-15,P001,AirWave Earbuds Pro,South,18,2499.0,44982.0,159.95,0.0,137
2026-01-15,P002,PulseFit Smart Watch,South,9,4999.0,44991.0,153.87,0.0,51
2026-01-15,P003,EchoBeam Speaker Mini,South,14,1799.0,25186.0,138.74,0.0,232
2026-01-15,P004,ShieldCase Armor,South,28,599.0,16772.0,179.1,0.0,254
2026-01-15,P001,AirWave Earbuds Pro,East,18,2499.0,44982.0,172.67,0.0,269
2026-01-15,P002,PulseFit Smart Watch,East,9,4999.0,44991.0,170.18,0.0,358
2026-01-15,P003,EchoBeam Speaker Mini,East,14,1799.0,25186.0,227.81,0.0,374
2026-01-15,P004,ShieldCase Armor,East,26,599.0,15574.0,157.48,0.0,295
2026-01-15,P001,AirWave Earbuds Pro,West,18,2499.0,44982.0,119.89,0.0,257
2026-01-15,P002,PulseFit Smart Watch,West,9,4999.0,44991.0,148.57,0.0,122
2026-01-15,P003,EchoBeam Speaker Mini,West,12,1799.0,21588.0,133.67,0.0,154
2026-01-15,P004,ShieldCase Armor,West,25,599.0,14975.0,130.15,0.0,58
2026-01-16,P001,AirWave Earbuds Pro,North,18,2499.0,44982.0,201.72,0.0,270
2026-01-16,P002,PulseFit Smart Watch,North,10,4999.0,49990.0,147.95,0.0,284
2026-01-16,P003,EchoBeam Speaker Mini,North,14,1799.0,25186.0,126.96,0.0,324
2026-01-16,P004,ShieldCase Armor,North,27,599.0,16173.0,137.41,0.0,385
2026-01-16,P001,AirWave Earbuds Pro,South,16,2499.0,39984.0,148.71,0.0,164
2026-01-16,P002,PulseFit Smart Watch,South,8,4999.0,39992.0,148.78,0.0,97
2026-01-16,P003,EchoBeam Speaker Mini,South,15,1799.0,26985.0,163.54,0.0,383
2026-01-16,P004,ShieldCase Armor,South,28,599.0,16772.0,193.47,0.0,216
2026-01-16,P001,AirWave Earbuds Pro,East,22,2499.0,54978.0,172.74,0.0,273
2026-01-16,P002,PulseFit Smart Watch,East,11,4999.0,54989.0,133.22,0.0,228
2026-01-16,P003,EchoBeam Speaker Mini,East,14,1799.0,25186.0,130.57,0.0,398
2026-01-16,P004,ShieldCase Armor,East,24,599.0,14376.0,129.39,0.0,362
2026-01-16,P001,AirWave Earbuds Pro,West,19,2499.0,47481.0,145.87,0.0,222
2026-01-16,P002,PulseFit Smart Watch,West,9,4999.0,44991.0,115.58,0.0,257
2026-01-16,P003,EchoBeam Speaker Mini,West,13,1799.0,23387.0,162.43,0.0,331
2026-01-16,P004,ShieldCase Armor,West,27,599.0,16173.0,172.58,0.0,360
2026-01-17,P001,AirWave Earbuds Pro,North,20,2499.0,49980.0,168.25,0.0,117
2026-01-17,P002,PulseFit Smart Watch,North,11,4999.0,54989.0,177.58,0.0,362
2026-01-17,P003,EchoBeam Speaker Mini,North,14,1799.0,25186.0,188.13,0.0,218
2026-01-17,P004,ShieldCase Armor,North,24,599.0,14376.0,140.83,0.0,93
2026-01-17,P001,AirWave Earbuds Pro,South,20,2499.0,49980.0,197.14,0.0,218
2026-01-17,P002,PulseFit Smart Watch,South,11,4999.0,54989.0,114.86,0.0,392
2026-01-17,P003,EchoBeam Speaker Mini,South,13,1799.0,23387.0,142.97,0.0,201
2026-01-17,P004,ShieldCase Armor,South,22,599.0,13178.0,169.5,0.0,236
2026-01-17,P001,AirWave Earbuds Pro,East,19,2499.0,47481.0,181.62,0.0,359
2026-01-17,P002,PulseFit Smart Watch,East,10,4999.0,49990.0,149.09,0.0,158
2026-01-17,P003,EchoBeam Speaker Mini,East,16,1799.0,28784.0,64.97,0.0,192
2026-01-17,P004,ShieldCase Armor,East,25,599.0,14975.0,117.43,0.0,344
2026-01-17,P001,AirWave Earbuds Pro,West,18,2499.0,44982.0,146.22,0.0,187
2026-01-17,P002,PulseFit Smart Watch,West,10,4999.0,49990.0,168.84,0.0,196
2026-01-17,P003,EchoBeam Speaker Mini,West,14,1799.0,25186.0,136.4,0.0,137
2026-01-17,P004,ShieldCase Armor,West,25,599.0,14975.0,97.79,0.0,146
2026-01-18,P001,AirWave Earbuds Pro,North,19,2499.0,47481.0,136.47,0.0,316
2026-01-18,P002,PulseFit Smart Watch,North,10,4999.0,49990.0,185.1,0.0,348
2026-01-18,P003,EchoBeam Speaker Mini,North,13,1799.0,23387.0,138.86,0.0,370
2026-01-18,P004,ShieldCase Armor,North,24,599.0,14376.0,187.56,0.0,258
2026-01-18,P001,AirWave Earbuds Pro,South,20,2499.0,49980.0,115.56,0.0,156
2026-01-18,P002,PulseFit Smart Watch,South,10,4999.0,49990.0,167.57,0.0,71
2026-01-18,P003,EchoBeam Speaker Mini,South,12,1799.0,21588.0,101.91,0.0,80
2026-01-18,P004,ShieldCase Armor,South,21,599.0,12579.0,136.6,0.0,234
2026-01-18,P001,AirWave Earbuds Pro,East,18,2499.0,44982.0,162.47,0.0,59
2026-01-18,P002,PulseFit Smart Watch,East,10,4999.0,49990.0,175.34,0.0,322
2026-01-18,P003,EchoBeam Speaker Mini,East,14,1799.0,25186.0,130.59,0.0,152
2026-01-18,P004,ShieldCase Armor,East,26,599.0,15574.0,201.55,0.0,359
2026-01-18,P001,AirWave Earbuds Pro,West,19,2499.0,47481.0,186.44,0.0,257
2026-01-18,P002,PulseFit Smart Watch,West,10,4999.0,49990.0,142.94,0.0,368
2026-01-18,P003,EchoBeam Speaker Mini,West,14,1799.0,25186.0,119.76,0.0,175
2026-01-18,P004,ShieldCase Armor,West,27,599.0,16173.0,140.83,0.0,216
2026-01-19,P001,AirWave Earbuds Pro,North,19,2499.0,47481.0,156.69,0.0,362
2026-01-19,P002,PulseFit Smart Watch,North,9,4999.0,44991.0,145.63,0.0,212
2026-01-19,P003,EchoBeam Speaker Mini,North,14,1799.0,25186.0,168.71,0.0,69
2026-01-19,P004,ShieldCase Armor,North,20,599.0,11980.0,117.55,0.0,241
2026-01-19,P001,AirWave Earbuds Pro,South,18,2499.0,44982.0,151.92,0.0,253
2026-01-19,P002,PulseFit Smart Watch,South,10,4999.0,49990.0,152.45,0.0,265
2026-01-19,P003,EchoBeam Speaker Mini,South,14,1799.0,25186.0,183.13,0.0,274
2026-01-19,P004,ShieldCase Armor,South,25,599.0,14975.0,117.32,0.0,301
2026-01-19,P001,AirWave Earbuds Pro,East,20,2499.0,49980.0,161.77,0.0,281
2026-01-19,P002,PulseFit Smart Watch,East,10,4999.0,49990.0,165.29,0.0,253
2026-01-19,P003,EchoBeam Speaker Mini,East,14,1799.0,25186.0,133.97,0.0,90
2026-01-19,P004,ShieldCase Armor,East,26,599.0,15574.0,139.26,0.0,244
2026-01-19,P001,AirWave Earbuds Pro,West,17,2499.0,42483.0,109.92,0.0,345
2026-01-19,P002,PulseFit Smart Watch,West,10,4999.0,49990.0,140.35,0.0,182
2026-01-19,P003,EchoBeam Speaker Mini,West,14,1799.0,25186.0,172.44,0.0,288
2026-01-19,P004,ShieldCase Armor,West,26,599.0,15574.0,142.78,0.0,198
2026-01-20,P001,AirWave Earbuds Pro,North,17,2499.0,42483.0,118.68,0.0,86
2026-01-20,P002,PulseFit Smart Watch,North,10,4999.0,49990.0,126.41,0.0,87
2026-01-20,P003,EchoBeam Speaker Mini,North,14,1799.0,25186.0,121.04,0.0,93
2026-01-20,P004,ShieldCase Armor,North,27,599.0,16173.0,135.77,0.0,93
2026-01-20,P001,AirWave Earbuds Pro,South,17,2499.0,42483.0,117.18,0.0,212
2026-01-20,P002,PulseFit Smart Watch,South,11,4999.0,54989.0,137.91,0.0,61
2026-01-20,P003,EchoBeam Speaker Mini,South,14,1799.0,25186.0,182.15,0.0,304
2026-01-20,P004,ShieldCase Armor,South,29,599.0,17371.0,223.32,0.0,266
2026-01-20,P001,AirWave Earbuds Pro,East,14,2499.0,34986.0,147.07,0.0,327
2026-01-20,P002,PulseFit Smart Watch,East,10,4999.0,49990.0,137.45,0.0,390
2026-01-20,P003,EchoBeam Speaker Mini,East,15,1799.0,26985.0,146.62,0.0,171
2026-01-20,P004,ShieldCase Armor,East,25,599.0,14975.0,165.44,0.0,394
2026-01-20,P001,AirWave Earbuds Pro,West,16,2499.0,39984.0,100.61,0.0,99
2026-01-20,P002,PulseFit Smart Watch,West,9,4999.0,44991.0,145.88,0.0,168
2026-01-20,P003,EchoBeam Speaker Mini,West,14,1799.0,25186.0,166.44,0.0,186
2026-01-20,P004,ShieldCase Armor,West,26,599.0,15574.0,104.45,0.0,383
2026-01-21,P001,AirWave Earbuds Pro,North,16,2499.0,39984.0,138.03,0.0,165
2026-01-21,P002,PulseFit Smart Watch,North,9,4999.0,44991.0,174.58,0.0,98
2026-01-21,P003,EchoBeam Speaker Mini,North,13,1799.0,23387.0,194.8,0.0,127
2026-01-21,P004,ShieldCase Armor,North,25,599.0,14975.0,163.17,0.0,89
2026-01-21,P001,AirWave Earbuds Pro,South,16,2499.0,39984.0,168.71,0.0,212
2026-01-21,P002,PulseFit Smart Watch,South,9,4999.0,44991.0,141.32,0.0,234
2026-01-21,P003,EchoBeam Speaker Mini,South,13,1799.0,23387.0,140.25,0.0,285
2026-01-21,P004,ShieldCase Armor,South,23,599.0,13777.0,202.05,0.0,247
2026-01-21,P001,AirWave Earbuds Pro,East,16,2499.0,39984.0,198.46,0.0,99
2026-01-21,P002,PulseFit Smart Watch,East,10,4999.0,49990.0,135.29,0.0,129
2026-01-21,P003,EchoBeam Speaker Mini,East,14,1799.0,25186.0,174.04,0.0,389
2026-01-21,P004,ShieldCase Armor,East,27,599.0,16173.0,137.85,0.0,88
2026-01-21,P001,AirWave Earbuds Pro,West,18,2499.0,44982.0,126.54,0.0,304
2026-01-21,P002,PulseFit Smart Watch,West,9,4999.0,44991.0,136.87,0.0,378
2026-01-21,P003,EchoBeam Speaker Mini,West,14,1799.0,25186.0,92.65,0.0,204
2026-01-21,P004,ShieldCase Armor,West,28,599.0,16772.0,183.66,0.0,269
2026-01-22,P001,AirWave Earbuds Pro,North,17,2499.0,42483.0,108.09,0.0,127
2026-01-22,P002,PulseFit Smart Watch,North,8,4999.0,39992.0,183.3,0.0,104
2026-01-22,P003,EchoBeam Speaker Mini,North,14,1799.0,25186.0,204.94,0.0,232
2026-01-22,P004,ShieldCase Armor,North,27,599.0,16173.0,146.98,0.0,381
2026-01-22,P001,AirWave Earbuds Pro,South,18,2499.0,44982.0,108.9,0.0,75
2026-01-22,P002,PulseFit Smart Watch,South,11,4999.0,54989.0,203.55,0.0,217
2026-01-22,P003,EchoBeam Speaker Mini,South,15,1799.0,26985.0,132.18,0.0,281
2026-01-22,P004,ShieldCase Armor,South,22,599.0,13178.0,194.2,0.0,179
2026-01-22,P001,AirWave Earbuds Pro,East,17,2499.0,42483.0,194.41,0.0,75
2026-01-22,P002,PulseFit Smart Watch,East,10,4999.0,49990.0,165.75,0.0,312
2026-01-22,P003,EchoBeam Speaker Mini,East,14,1799.0,25186.0,140.79,0.0,295
2026-01-22,P004,ShieldCase Armor,East,25,599.0,14975.0,138.92,0.0,258
2026-01-22,P001,AirWave Earbuds Pro,West,19,2499.0,47481.0,145.68,0.0,242
2026-01-22,P002,PulseFit Smart Watch,West,10,4999.0,49990.0,148.08,0.0,166
2026-01-22,P003,EchoBeam Speaker Mini,West,15,1799.0,26985.0,136.38,0.0,67
2026-01-22,P004,ShieldCase Armor,West,28,599.0,16772.0,196.4,0.0,391
2026-01-23,P001,AirWave Earbuds Pro,North,19,2499.0,47481.0,138.37,0.0,290
2026-01-23,P002,PulseFit Smart Watch,North,11,4999.0,54989.0,139.39,0.0,275
2026-01-23,P003,EchoBeam Speaker Mini,North,13,1799.0,23387.0,206.17,0.0,356
2026-01-23,P004,ShieldCase Armor,North,29,599.0,17371.0,108.05,0.0,144
2026-01-23,P001,AirWave Earbuds Pro,South,19,2499.0,47481.0,212.13,0.0,386
2026-01-23,P002,PulseFit Smart Watch,South,10,4999.0,49990.0,114.97,0.0,183
2026-01-23,P003,EchoBeam Speaker Mini,South,15,1799.0,26985.0,126.9,0.0,342
2026-01-23,P004,ShieldCase Armor,South,23,599.0,13777.0,196.71,0.0,361
2026-01-23,P001,AirWave Earbuds Pro,East,20,2499.0,49980.0,149.05,0.0,199
2026-01-23,P002,PulseFit Smart Watch,East,11,4999.0,54989.0,139.02,0.0,300
2026-01-23,P003,EchoBeam Speaker Mini,East,13,1799.0,23387.0,97.14,0.0,134
2026-01-23,P004,ShieldCase Armor,East,22,599.0,13178.0,131.32,0.0,368
2026-01-23,P001,AirWave Earbuds Pro,West,19,2499.0,47481.0,138.74,0.0,283
2026-01-23,P002,PulseFit Smart Watch,West,9,4999.0,44991.0,151.96,0.0,83
