week,region,category,total_feedback,negative_feedback,negative_rate
6,South,customer_support,3,1,0.333
6,South,product_quality,9,0,0.0
6,West,customer_support,1,1,1.0
6,West,packaging,1,0,0.0
6,West,pricing,2,1,0.5
6,West,product_quality,8,0,0.0
7,East,customer_support,5,1,0.2
7,East,packaging,1,1,1.0
7,East,product_quality,4,0,0.0
7,North,customer_support,2,0,0.0
7,North,pricing,2,1,0.5
7,North,product_quality,6,0,0.0
7,South,customer_support,2,0,0.0
7,South,packaging,1,0,0.0
7,South,pricing,3,1,0.333
7,South,product_quality,5,0,0.0
7,West,packaging,2,1,0.5
7,West,pricing,1,1,1.0
7,West,product_quality,6,0,0.0
8,East,customer_support,1,0,0.0
8,East,pricing,2,1,0.5
8,East,product_quality,6,0,0.0
8,North,customer_support,1,1,1.0
8,North,pricing,2,1,0.5
8,North,product_quality,7,0,0.0
8,South,product_quality,8,0,0.0
8,West,customer_support,1,1,1.0
8,West,pricing,1,0,0.0
8,West,product_quality,3,0,0.0
9,East,customer_support,3,2,0.667
9,East,packaging,2,2,1.0
9,East,pricing,3,2,0.667
9,East,product_quality,7,0,0.0
9,North,customer_support,1,0,0.0
9,North,packaging,1,1,1.0
9,North,product_quality,4,0,0.0
9,South,customer_support,2,0,0.0
9,South,pricing,1,0,0.0
9,South,product_quality,10,1,0.1
9,West,customer_support,1,0,0.0
9,West,packaging,2,2,1.0
9,West,pricing,1,0,0.0
9,West,product_quality,9,0,0.0
10,East,customer_support,2,2,1.0
10,East,packaging,1,0,0.0
10,East,pricing,2,0,0.0
10,East,product_quality,6,0,0.0
10,North,customer_support,3,1,0.333
10,North,product_quality,6,1,0.167
10,South,customer_support,1,0,0.0
10,South,packaging,1,1,1.0
10,South,pricing,2,2,1.0
10,South,product_quality,6,0,0.0
10,West,customer_support,1,0,0.0
10,West,packaging,2,2,1.0
10,West,pricing,1,1,1.0
10,West,product_quality,3,0,0.0
11,East,pricing,1,1,1.0
11,East,product_quality,8,0,0.0
11,North,customer_support,2,1,0.5
11,North,packaging,2,2,1.0
11,North,pricing,1,1,1.0
11,North,product_quality,4,0,0.0
11,South,customer_support,2,1,0.5
11,South,packaging,1,0,0.0
11,South,product_quality,5,1,0.2
11,West,customer_support,1,1,1.0
11,West,product_quality,8,0,0.0
12,East,customer_support,1,0,0.0
12,East,packaging,2,0,0.0
12,East,pricing,1,1,1.0
12,East,product_quality,3,0,0.0
12,North,customer_support,1,1,1.0
12,North,pricing,3,2,0.667
12,North,product_quality,7,1,0.143
12,South,customer_support,2,0,0.0
12,South,pricing,3,1,0.333
12,South,product_quality,4,0,0.0
12,West,customer_support,2,2,1.0
12,West,pricing,2,0,0.0
12,West,product_quality,11,1,0.091
13,East,customer_support,3,0,0.0
13,East,packaging,1,0,0.0
13,East,pricing,2,0,0.0
13,East,product_quality,5,1,0.2
13,North,packaging,1,0,0.0
13,North,pricing,1,1,1.0
13,North,product_quality,6,1,0.167
13,South,packaging,3,3,1.0
13,South,pricing,2,1,0.5
13,South,product_quality,9,2,0.222
13,West,packaging,2,1,0.5
13,West,product_quality,13,2,0.154
14,East,packaging,1,0,0.0
14,East,pricing,4,3,0.75
14,East,product_quality,13,3,0.231
14,North,customer_support,2,0,0.0
14,North,packaging,4,1,0.25
14,North,pricing,2,1,0.5
14,North,product_quality,8,0,0.0
14,South,pricing,1,0,0.0
14,South,product_quality,9,1,0.111
14,West,customer_support,2,1,0.5
14,West,packaging,1,1,1.0
14,West,product_quality,7,1,0.143
15,East,pricing,2,2,1.0
15,East,product_quality,2,1,0.5
15,North,customer_support,4,3,0.75
15,North,delivery,28,28,1.0
15,North,packaging,2,1,0.5
15,North,product_quality,5,1,0.2
15,South,pricing,1,1,1.0
15,South,product_quality,11,2,0.182
15,West,customer_support,2,2,1.0
15,West,packaging,3,2,0.667
15,West,product_quality,6,0,0.0
16,East,customer_support,2,2,1.0
16,East,packaging,1,0,0.0
16,East,pricing,2,2,1.0
16,East,product_quality,6,0,0.0
16,North,delivery,34,34,1.0
16,North,packaging,3,1,0.333
16,North,pricing,2,2,1.0
16,North,product_quality,8,0,0.0
16,South,customer_support,1,0,0.0
16,South,packaging,1,0,0.0
16,South,pricing,1,0,0.0
16,South,product_quality,8,0,0.0
16,West,packaging,2,0,0.0
16,West,pricing,2,1,0.5
16,West,product_quality,7,0,0.0
17,East,customer_support,2,0,0.0
17,East,pricing,2,1,0.5
17,East,product_quality,6,0,0.0
17,North,delivery,22,22,1.0
17,North,packaging,1,1,1.0
17,North,product_quality,10,0,0.0
17,South,customer_support,1,1,1.0
17,South,packaging,1,0,0.0
17,South,pricing,2,1,0.5
17,South,product_quality,6,1,0.167
17,West,customer_support,2,0,0.0
17,West,packaging,1,0,0.0
17,West,product_quality,12,1,0.083
18,East,customer_support,1,1,1.0
18,East,packaging,2,1,0.5
18,East,product_quality,4,0,0.0
18,North,customer_support,1,1,1.0
18,North,delivery,23,23,1.0
18,North,packaging,1,1,1.0
18,North,pricing,2,0,0.0
18,North,product_quality,5,1,0.2
18,South,customer_support,2,1,0.5
18,South,product_quality,5,0,0.0
18,West,customer_support,3,1,0.333
18,West,packaging,3,2,0.667
18,West,pricing,1,0,0.0
18,West,product_quality,7,1,0.143
19,East,customer_support,1,1,1.0
19,East,packaging,1,0,0.0
19,East,product_quality,11,0,0.0
19,North,delivery,15,15,1.0
19,North,packaging,2,0,0.0
19,North,pricing,2,1,0.5
19,North,product_quality,7,0,0.0
19,South,customer_support,1,1,1.0
19,South,packaging,2,1,0.5
19,South,product_quality,8,1,0.125
19,West,customer_support,3,2,0.667
19,West,packaging,1,0,0.0
19,West,pricing,3,1,0.333
19,West,product_quality,8,1,0.125
20,East,customer_support,4,2,0.5
20,East,packaging,1,0,0.0
20,East,product_quality,9,1,0.111
20,North,customer_support,1,1,1.0
20,North,packaging,1,1,1.0
20,North,pricing,2,0,0.0
20,North,product_quality,5,0,0.0
20,South,customer_support,2,1,0.5
20,South,product_quality,9,1,0.111
20,West,packaging,1,1,1.0
20,West,pricing,2,1,0.5
20,West,product_quality,9,1,0.111
21,East,customer_support,2,1,0.5
21,East,product_quality,4,0,0.0
21,North,customer_support,3,1,0.333
21,North,packaging,1,1,1.0
21,North,product_quality,5,0,0.0
21,South,customer_support,3,1,0.333
21,South,pricing,1,1,1.0
21,South,product_quality,7,0,0.0
21,West,customer_support,1,0,0.0
21,West,packaging,2,1,0.5
21,West,pricing,2,1,0.5
21,West,product_quality,3,0,0.0
22,East,packaging,2,0,0.0
22,East,pricing,1,0,0.0
22,East,product_quality,7,1,0.143
22,North,customer_support,2,1,0.5
22,North,packaging,2,0,0.0
22,North,pricing,3,1,0.333
22,North,product_quality,7,2,0.286
22,South,customer_support,1,0,0.0
22,South,product_quality,8,0,0.0
22,West,customer_support,2,1,0.5
22,West,packaging,2,1,0.5
22,West,pricing,1,0,0.0
22,West,product_quality,7,2,0.286
23,East,customer_support,2,1,0.5
23,East,pricing,1,1,1.0
23,East,product_quality,6,0,0.0
23,North,packaging,1,1,1.0
23,North,pricing,1,1,1.0
23,North,product_quality,10,1,0.1
23,South,customer_support,1,1,1.0
23,South,packaging,1,1,1.0
23,South,pricing,1,0,0.0
23,South,product_quality,8,0,0.0
23,West,customer_support,1,1,1.0
23,West,packaging,2,0,0.0
23,West,pricing,1,0,0.0
23,West,product_quality,11,0,0.0
24,East,customer_support,1,1,1.0
24,East,packaging,2,1,0.5
24,East,pricing,2,2,1.0
24,East,product_quality,10,0,0.0
24,North,customer_support,1,0,0.0
24,North,packaging,1,1,1.0
24,North,pricing,2,1,0.5
24,North,product_quality,7,1,0.143
24,South,customer_support,1,1,1.0
24,South,packaging,3,2,0.667
24,South,pricing,1,1,1.0
24,South,product_quality,6,0,0.0
24,West,customer_support,5,3,0.6
24,West,pricing,3,2,0.667
24,West,product_quality,8,0,0.0
25,East,packaging,2,0,0.0
25,East,pricing,2,0,0.0
25,East,product_quality,10,0,0.0
25,North,customer_support,1,1,1.0
25,North,packaging,1,0,0.0
25,South,product_quality,6,1,0.167
25,West,customer_support,1,0,0.0
25,West,packaging,5,3,0.6
25,West,pricing,1,0,0.0
25,West,product_quality,11,0,0.0
26,East,packaging,1,0,0.0
26,East,pricing,1,1,1.0
26,East,product_quality,2,0,0.0
26,North,customer_support,1,0,0.0
26,North,packaging,1,1,1.0
26,North,pricing,2,1,0.5
26,North,product_quality,10,1,0.1
26,South,customer_support,1,1,1.0
26,South,packaging,1,1,1.0
26,South,product_quality,8,0,0.0
26,West,customer_support,1,0,0.0
26,West,pricing,2,1,0.5
26,West,product_quality,5,0,0.0
