week,region,units_sold,revenue,avg_price,avg_marketing_spend,avg_discount,rolling_mean,rolling_std
22,South,459,944333.32,2623.9700000000003,150.41071428571428,0.0,471.0,8.041558721209887
23,South,477,1007714.36,2623.9700000000003,139.76285714285714,0.0,469.5,9.882644720249068
24,South,482,1017809.36,2623.9700000000003,162.85214285714284,0.0,470.75,10.594810050208551
25,South,471,1000820.12,2623.9700000000003,131.7392857142857,0.0,470.75,10.594810050208551
26,South,465,957427.2,2623.9700000000003,144.10142857142858,0.0,472.25,9.912113800799508
1,West,478,957022.0,2474.0,157.97178571428572,0.0,,
2,West,480,952720.0,2474.0,151.48107142857143,0.0,,
3,West,475,936225.0,2474.0,147.00214285714287,0.0,,
4,West,479,978821.0,2474.0,154.54857142857142,0.0,,
5,West,467,946433.0,2474.0,141.23285714285714,0.0,478.0,2.160246899469291
6,West,471,930529.0,2474.0,149.80285714285716,0.0,475.25,5.90903263374528
7,West,472,949128.0,2474.0,150.38000000000002,0.0,473.0,5.163977794943229
8,West,473,935327.0,2474.0,163.59392857142856,0.0,472.25,4.991659710623984
9,West,464,941536.0,2474.0,144.16642857142855,0.0,470.75,2.6299556396765924
10,West,453,921047.0,2474.0,148.04749999999999,0.0,470.0,4.082482904638636
11,West,477,951623.0,2474.0,149.4992857142857,0.0,465.5,9.255628917943222
12,West,453,910147.0,2474.0,144.77392857142857,0.0,466.75,10.657548185832118
13,West,468,946732.0,2474.0,141.11214285714286,0.0,461.75,11.41271221051334
14,West,460,931140.0,2474.0,147.25964285714286,0.0,462.75,11.842719282327023
15,West,458,933742.0,2474.0,150.75857142857143,0.0,464.5,10.344080432788612
16,West,471,962029.0,2474.0,147.1807142857143,0.0,459.75,6.238322424070979
17,West,474,960426.0,2474.0,148.51285714285714,0.0,464.25,6.238322424070979
18,West,470,954730.0,2474.0,156.67714285714285,0.0,465.75,7.932002689527206
19,West,472,938728.0,2474.0,153.3007142857143,0.0,468.25,7.041543391425877
20,West,474,940026.0,2474.0,161.52821428571428,0.0,471.75,1.7078251276599454
21,West,475,956725.0,2474.0,161.05214285714285,0.0,472.5,1.9148542155126873
22,West,533,1056336.7,2474.0,143.6392857142857,0.025,472.75,2.217355782608355
23,West,459,919841.0,2474.0,147.87678571428572,0.0,488.5,29.692872320923524
24,West,476,950824.0,2474.0,149.5453571428571,0.0,485.25,32.66369034060093
25,West,478,952022.0,2474.0,150.06571428571428,0.0,485.75,32.44867742553872
26,West,452,900148.0,2474.0,154.90571428571428,0.0,486.5,32.150686877058575
